tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037131023,60481,815,Low Income,Yes,No,Yes,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,3786,6331632.888,10094.99011
6037131024,93233,971,Low Income,No,No,Yes,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,3787,9118250.623,12239.29269
6037131100,91989,1027,Low Income,No,No,Yes,District 3,Los Angeles - Lake Balboa,SPA 2 - San Fernando,3788,11864796.79,14173.5117
6037131200,89507,1211,Low Income,No,No,Yes,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,3789,12145468.08,14480.98997
6037127210,55614,1902,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,3790,16562017.96,19659.82976
6037131300,66042,1157,Low Income,Yes,No,Yes,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,3791,12032453.03,14396.22511
6037131400,74115,1907,Low Income,Yes,No,Yes,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,3792,11915892.79,14307.22044
6037131600,74868,1370,Low Income,Yes,No,Yes,District 3,Los Angeles - Reseda Ranch,SPA 2 - San Fernando,3793,23559471.76,19403.91291
6037131701,74294,1933,Low Income,Yes,No,Yes,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,3794,7099637.321,10658.47859
6037131702,62746,1262,Low Income,Yes,No,Yes,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,3795,7771595.112,11154.73156
6037264103,126538,1562,Above Moderate Income,No,No,No,District 3,Los Angeles - Brentwood,SPA 5 - West,3796,2490260.745,7354.991688
6037264303,116414,1543,Above Moderate Income,No,No,No,District 3,Los Angeles - Brentwood,SPA 5 - West,3797,2261081.603,6586.023665
6037264304,97078,1446,Above Moderate Income,No,No,No,District 3,Los Angeles - Brentwood,SPA 5 - West,3798,2225741.226,7198.827025
