Ticket number,Issue Date,RP State Plate,Make,Location,Violation code,Violation Description,Fine amount,Latitude,Longitude,year,csa,ami_category
4537042042,10/21/2021,LA,KIA,1210 CHEROKEE AV N,80.58L,PREFERENTIAL PARKING,68.0,34.09276957141018,-118.33522091795813,2021,Melrose,Very Low Income
4533780101,08/05/2021,CA,KIA,2900 JOHNSTON ST,22500F,PARKED ON SIDEWALK,68.0,34.0801229873914,-118.21059968289603,2021,Lincoln Heights,Above Moderate Income
4529458566,04/23/2021,CA,TOYT,6050 WESTERN AV S,80.69B,NO PARKING,73.0,33.98504199510634,-118.30894499676573,2021,Harvard Park,Very Low Income
4537301484,10/20/2021,CA,HOND,14800 VENTURA BL,88.13B+,METER EXP.,63.0,34.1520000014634,-118.45523899790054,2021,Sherman Oaks,Above Moderate Income
4539710453,11/29/2021,NM,SUBA,5600 FIGUEROA ST,88.13B+,METER EXP.,63.0,34.10890599830739,-118.19418800187373,2021,Highland Park,Low Income
4529414621,04/23/2021,CA,CHEV,8755 ETIWANDA AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.229830466650114,-118.53233599773013,2021,Northridge,Low Income
4526308942,03/01/2021,CA,GMC,100 Q ST E,80.73.2,EXCEED 72HRS-ST,68.0,33.795389184921895,-118.26363839966528,2021,Wilmington,Very Low Income
4537235614,10/04/2021,CA,TOYT,301 FREMONT AV N,80.69B,NO PARKING,73.0,34.05887092012997,-118.25269908917068,2021,Downtown,Low Income
4525435434,02/03/2021,CA,CHEV,1801 GRIFFITH AVE S,80.56E4+,RED ZONE,93.0,34.026665996777346,-118.25275000586772,2021,Wholesale District,Extremely Low Income
4524523113,03/04/2021,CA,KIA,1674 11TH ST W,80.69BS,NO PARK/STREET CLEAN,73.0,34.04856224174759,-118.27697031071861,2021,Pico-Union,Extremely Low Income
4533318160,07/20/2021,CA,NISS,4987 ROMAINE ST,80.56E4+,RED ZONE,93.0,34.088512692636485,-118.300254210989,2021,East Hollywood,Very Low Income
4528133094,04/10/2021,CA,DODG,5031 ROMAINE ST,5204A-,DISPLAY OF TABS,25.0,34.08853000118985,-118.30134100156934,2021,Melrose,Extremely Low Income
4524154655,01/07/2021,CA,TOYT,6000 MAIN ST S,80.69AA+,NO STOP/STAND,93.0,33.98514499575479,-118.27392800593566,2021,Florence-Firestone,Very Low Income
4534955773,08/18/2021,CA,INFI,4144 SOMERSET DR,80.69BS,NO PARK/STREET CLEAN,73.0,34.01054706505752,-118.34228193679401,2021,Baldwin Hills,Very Low Income
4528503980,04/08/2021,CA,TOYT,2043 BUTLER AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.038669426577,-118.44600285553894,2021,West Los Angeles,Above Moderate Income
4531088715,05/27/2021,CA,CADI,1600 99TH ST E,80.69BS,NO PARK/STREET CLEAN,73.0,33.946689998039254,-118.24623100417755,2021,Watts,Extremely Low Income
4536056361,10/03/2021,CA,KIA,6600 PACIFIC AVE,80.69A+,STOP/STAND PROHIBIT,93.0,33.960244999224585,-118.4516100012613,2021,Playa Del Rey,Above Moderate Income
